Date,Open,High,Low,Close,Vol.,Change %
11-06-2012,3.4,3.45,3.35,3.4,3.24M,0.00%
12-06-2012,3.4,3.5,3.4,3.45,6.09M,1.47%
13-06-2012,3.45,3.45,3.35,3.4,7.29M,-1.45%
14-06-2012,3.4,3.45,3.35,3.4,31.81M,0.00%
15-06-2012,3.4,3.5,3.4,3.4,7.57M,0.00%
18-06-2012,3.4,3.45,3.4,3.45,1.82M,1.47%
19-06-2012,3.45,3.5,3.4,3.45,17.70M,0.00%
20-06-2012,3.45,3.55,3.45,3.5,6.22M,1.45%
21-06-2012,3.5,3.55,3.5,3.5,3.43M,0.00%
22-06-2012,3.5,3.55,3.5,3.5,6.43M,0.00%
25-06-2012,3.5,3.55,3.5,3.5,4.82M,0.00%
26-06-2012,3.5,3.55,3.45,3.5,14.21M,0.00%
27-06-2012,3.5,3.5,3.4,3.45,14.95M,-1.43%
28-06-2012,3.45,3.45,3.35,3.4,3.04M,-1.45%
29-06-2012,3.4,3.55,3.4,3.45,4.16M,1.47%
02-07-2012,3.45,3.65,3.5,3.6,7.46M,4.35%
03-07-2012,3.6,3.7,3.6,3.65,12.16M,1.39%
04-07-2012,3.65,3.7,3.5,3.55,945.90K,-2.74%
05-07-2012,3.55,3.6,3.45,3.55,1.50M,0.00%
06-07-2012,3.55,3.6,3.55,3.56,910.30K,0.28%
09-07-2012,3.55,3.6,3.55,3.55,1.25M,-0.28%
10-07-2012,3.55,3.6,3.55,3.55,6.93M,0.00%
11-07-2012,3.55,3.6,3.55,3.55,6.16M,0.00%
12-07-2012,3.55,3.65,3.55,3.6,6.85M,1.41%
13-07-2012,3.6,3.65,3.55,3.55,1.49M,-1.39%
16-07-2012,3.55,3.7,3.55,3.6,9.18M,1.41%
17-07-2012,3.6,3.75,3.6,3.65,2.05M,1.39%
18-07-2012,3.65,3.8,3.65,3.75,2.80M,2.74%
19-07-2012,3.75,3.9,3.75,3.85,16.54M,2.67%
20-07-2012,3.85,3.95,3.85,3.9,2.55M,1.30%
23-07-2012,3.9,4,3.85,3.9,1.62M,0.00%
24-07-2012,3.9,3.95,3.85,3.85,1.45M,-1.28%
25-07-2012,3.85,4,3.9,3.95,27.71M,2.60%
26-07-2012,3.95,4,3.9,3.95,21.48M,0.00%
27-07-2012,3.95,3.95,3.8,3.9,14.64M,-1.27%
30-07-2012,3.9,3.9,3.7,3.8,11.91M,-2.56%
31-07-2012,3.8,3.9,3.8,3.8,2.06M,0.00%
01-08-2012,3.8,3.85,3.8,3.8,1.50M,0.00%
02-08-2012,3.8,3.95,3.8,3.85,5.91M,1.32%
03-08-2012,3.85,3.95,3.9,3.95,19.48M,2.60%
06-08-2012,3.95,3.95,3.8,3.85,1.27M,-2.53%
07-08-2012,3.85,3.95,3.85,3.85,3.61M,0.00%
08-08-2012,3.85,3.9,3.8,3.85,2.41M,0.00%
09-08-2012,3.85,3.95,3.8,3.9,36.75M,1.30%
10-08-2012,3.9,3.9,3.7,3.8,10.92M,-2.56%
13-08-2012,3.8,3.9,3.7,3.75,1.03M,-1.32%
14-08-2012,3.75,3.85,3.7,3.75,426.10K,0.00%
15-08-2012,3.75,3.85,3.7,3.75,1.30M,0.00%
16-08-2012,3.75,3.85,3.75,3.75,791.60K,0.00%
17-08-2012,3.75,3.9,3.75,3.75,1.26M,0.00%
21-08-2012,3.75,3.85,3.75,3.75,571.50K,0.00%
22-08-2012,3.75,3.95,3.75,3.85,2.93M,2.67%
23-08-2012,3.85,3.95,3.9,3.9,2.49M,1.30%
24-08-2012,3.9,3.95,3.9,3.9,440.40K,0.00%
27-08-2012,3.9,3.95,3.85,3.9,1.00M,0.00%
28-08-2012,3.9,3.95,3.7,3.85,8.10M,-1.28%
29-08-2012,3.85,3.9,3.7,3.8,611.70K,-1.30%
30-08-2012,3.8,3.9,3.75,3.85,774.30K,1.32%
31-08-2012,3.85,3.9,3.75,3.8,4.50M,-1.30%
03-09-2012,3.8,3.95,3.85,3.9,791.70K,2.63%
04-09-2012,3.9,4,3.85,3.95,12.05M,1.28%
05-09-2012,3.95,4.1,3.95,3.95,3.40M,0.00%
06-09-2012,3.95,4.05,3.95,3.95,1.65M,0.00%
07-09-2012,3.95,4.05,4,4,1.11M,1.27%
10-09-2012,4,4.2,4,4.05,2.05M,1.25%
11-09-2012,4.05,4.3,4.15,4.25,13.65M,4.94%
12-09-2012,4.25,4.3,4.2,4.25,28.04M,0.00%
13-09-2012,4.25,4.25,4,4.15,30.44M,-2.35%
14-09-2012,4.15,4.1,3.65,3.95,5.60M,-4.82%
17-09-2012,3.95,4.1,4,4,8.50M,1.27%
18-09-2012,4,4.05,4,4,10.47M,0.00%
19-09-2012,4,4.1,4,4,5.75M,0.00%
20-09-2012,4,4.05,4,4,3.76M,0.00%
24-09-2012,4,4.05,4,4,1.22M,0.00%
25-09-2012,4,4.05,4,4,11.89M,0.00%
26-09-2012,4,4.05,4,4,5.83M,0.00%
27-09-2012,4,4.1,4,4.05,7.48M,1.25%
28-09-2012,4.05,4.1,4.05,4.1,9.57M,1.23%
01-10-2012,4.1,4.1,4.05,4.05,3.05M,-1.22%
02-10-2012,4.05,4.15,4.05,4.05,10.39M,0.00%
03-10-2012,4.05,4.1,3.9,4.05,9.19M,0.00%
04-10-2012,4.05,4.05,4,4,1.65M,-1.23%
05-10-2012,4,4.1,4,4.05,7.62M,1.25%
08-10-2012,4.05,4.05,4,4,582.90K,-1.23%
09-10-2012,4,4.1,4,4.05,2.68M,1.25%
10-10-2012,4.05,4.15,4.05,4.05,11.68M,0.00%
11-10-2012,4.05,4.15,4.05,4.1,7.94M,1.23%
12-10-2012,4.1,4.15,4.05,4.1,1.78M,0.00%
15-10-2012,4.1,4.15,4.1,4.1,1.30M,0.00%
16-10-2012,4.1,4.15,4.1,4.1,3.00M,0.00%
17-10-2012,4.1,4.15,4.1,4.15,4.69M,1.22%
18-10-2012,4.15,4.2,4.1,4.2,8.49M,1.20%
19-10-2012,4.2,4.25,4.15,4.2,803.00K,0.00%
22-10-2012,4.2,4.5,4.2,4.25,1.89M,1.19%
23-10-2012,4.25,4.3,4.25,4.25,474.00K,0.00%
24-10-2012,4.25,4.4,4.25,4.25,1.87M,0.00%
25-10-2012,4.25,4.45,4.3,4.35,4.33M,2.35%
26-10-2012,4.35,4.5,4.4,4.45,1.44M,2.30%
29-10-2012,4.45,4.5,4.4,4.4,831.40K,-1.12%
30-10-2012,4.4,4.45,4.4,4.4,9.07M,0.00%
31-10-2012,4.4,4.45,4.4,4.4,1.50M,0.00%
01-11-2012,4.4,4.4,4.25,4.35,14.61M,-1.14%
02-11-2012,4.35,4.4,4.25,4.35,2.91M,0.00%
05-11-2012,4.35,4.4,4.25,4.35,1.53M,0.00%
06-11-2012,4.35,4.45,4.25,4.35,1.41M,0.00%
07-11-2012,4.35,4.45,4.35,4.45,39.14M,2.30%
08-11-2012,4.35,4.55,4.45,4.45,2.49M,0.00%
09-11-2012,4.45,4.95,4.55,4.8,7.98M,7.87%
12-11-2012,4.8,4.85,4.8,4.8,21.65M,0.00%
13-11-2012,4.8,4.8,4.55,4.7,7.26M,-2.08%
14-11-2012,4.7,4.65,4.5,4.55,12.29M,-3.19%
15-11-2012,4.55,4.75,4.5,4.6,18.08M,1.10%
16-11-2012,4.6,4.8,4.65,4.65,31.15M,1.09%
19-11-2012,4.65,4.7,4.55,4.6,27.03M,-1.08%
20-11-2012,4.6,4.85,4.6,4.75,33.65M,3.26%
21-11-2012,4.75,5,4.75,4.85,14.33M,2.11%
22-11-2012,4.85,5.05,4.7,4.95,13.20M,2.06%
23-11-2012,4.95,5.05,4.85,5,85.73M,1.01%
26-11-2012,5,5.3,5,5.2,33.84M,4.00%
27-11-2012,5.2,5.1,4.85,5,76.77M,-3.85%
28-11-2012,5,5,4.85,4.9,11.74M,-2.00%
29-11-2012,4.9,4.95,4.6,4.9,22.67M,0.00%
30-11-2012,4.9,5.05,4.7,5,21.12M,2.04%
03-12-2012,5,5.1,4.9,5.05,17.56M,1.00%
04-12-2012,5.05,5.1,5,5.05,40.44M,0.00%
05-12-2012,5.05,5.1,5,5,10.12M,-0.99%
06-12-2012,5,5.05,5,5,18.37M,0.00%
07-12-2012,5,5.1,5,5.05,25.40M,1.00%
10-12-2012,5.05,5.1,5,5.05,9.54M,0.00%
11-12-2012,5.05,5.1,5,5,54.09M,-0.99%
13-12-2012,5,5.1,5,5.05,38.41M,1.00%
14-12-2012,5.05,5.1,5,5.05,5.06M,0.00%
17-12-2012,5.05,5.1,5,5.05,6.41M,0.00%
18-12-2012,5.05,5.1,5,5.05,15.77M,0.00%
19-12-2012,5.05,5.1,5,5.05,13.17M,0.00%
20-12-2012,5.05,5.1,5.05,5.05,13.61M,0.00%
21-12-2012,5.05,5.1,5.05,5.05,8.07M,0.00%
24-12-2012,5.05,5.1,5.05,5.05,12.45M,0.00%
27-12-2012,5.1,5.15,5.05,5.1,7.63M,0.99%
28-12-2012,5.05,5.15,5.05,5.05,595.30K,-0.98%
31-12-2012,5.05,5.1,5,5.05,1.76M,0.00%
02-01-2013,5,5.15,5,5.1,3.32M,0.99%
03-01-2013,5.1,5.25,5.1,5.15,7.25M,0.98%
04-01-2013,5.2,5.35,5.15,5.25,4.13M,1.94%
07-01-2013,5.2,5.45,5.2,5.35,4.10M,1.90%
08-01-2013,5.4,5.85,5.4,5.6,11.00M,4.67%
09-01-2013,5.65,6,5.5,5.8,13.69M,3.57%
10-01-2013,5.8,5.8,5.55,5.6,6.69M,-3.45%
11-01-2013,5.6,5.7,5.6,5.6,4.44M,0.00%
14-01-2013,5.6,5.7,5.6,5.65,10.96M,0.89%
15-01-2013,5.6,5.8,5.55,5.65,11.69M,0.00%
16-01-2013,5.65,5.85,5.65,5.75,9.13M,1.77%
17-01-2013,5.75,5.8,5.7,5.75,15.91M,0.00%
18-01-2013,5.75,5.8,5.75,5.75,13.30M,0.00%
21-01-2013,5.75,5.8,5.5,5.75,44.02M,0.00%
22-01-2013,5.7,5.75,5.55,5.65,11.70M,-1.74%
23-01-2013,5.7,5.75,5.5,5.6,15.44M,-0.88%
24-01-2013,5.55,5.7,5.5,5.6,10.71M,0.00%
25-01-2013,5.6,5.65,5.35,5.6,8.85M,0.00%
28-01-2013,5.6,5.6,5.25,5.4,25.31M,-3.57%
29-01-2013,5.25,5.4,5.2,5.3,10.54M,-1.85%
30-01-2013,5.3,5.5,5.25,5.3,18.41M,0.00%
31-01-2013,5.3,5.5,5.3,5.45,3.67M,2.83%
01-02-2013,5.45,5.55,5.4,5.55,110.83M,1.83%
04-02-2013,5.45,5.55,5.35,5.5,2.87M,-0.90%
05-02-2013,5.5,5.6,5.35,5.4,28.08M,-1.82%
06-02-2013,5.4,5.5,5.4,5.4,3.45M,0.00%
07-02-2013,5.4,5.5,5.4,5.4,36.27M,0.00%
08-02-2013,5.5,5.6,5.5,5.55,18.08M,2.78%
11-02-2013,5.55,5.7,5.55,5.65,9.36M,1.80%
12-02-2013,5.65,5.75,5.65,5.7,25.57M,0.88%
13-02-2013,5.7,5.75,5.55,5.7,20.90M,0.00%
14-02-2013,5.55,5.65,5.55,5.6,4.86M,-1.75%
15-02-2013,5.6,5.65,5.55,5.55,1.75M,-0.89%
18-02-2013,5.75,5.75,5.55,5.55,14.74M,0.00%
19-02-2013,5.6,5.7,5.6,5.65,7.96M,1.80%
20-02-2013,5.7,5.8,5.65,5.7,62.30M,0.88%
21-02-2013,5.7,5.75,5.65,5.7,15.09M,0.00%
22-02-2013,5.7,5.75,5.65,5.7,8.58M,0.00%
25-02-2013,5.65,5.7,5.65,5.65,1.23M,-0.88%
26-02-2013,5.65,5.75,5.65,5.65,3.61M,0.00%
27-02-2013,5.7,5.8,5.7,5.75,8.03M,1.77%
28-02-2013,5.75,5.8,5.75,5.75,4.40M,0.00%
01-03-2013,5.75,5.9,5.75,5.8,6.74M,0.87%
05-03-2013,5.85,6,5.85,5.95,13.26M,2.59%
06-03-2013,5.95,6,5.9,5.95,24.04M,0.00%
07-03-2013,5.8,6,5.8,5.95,23.03M,0.00%
08-03-2013,5.9,6.1,5.9,6,2.75M,0.84%
11-03-2013,6,6.5,6,6.15,10.04M,2.50%
12-03-2013,6.25,6.35,6.15,6.25,24.59M,1.63%
13-03-2013,6.3,6.35,6.25,6.25,11.53M,0.00%
14-03-2013,6.3,6.4,6.25,6.3,28.09M,0.80%
15-03-2013,6.3,6.35,5.9,6.15,3.01M,-2.38%
18-03-2013,5.8,6.1,5.8,6,18.57M,-2.44%
19-03-2013,5.95,6,5.9,5.95,6.55M,-0.83%
20-03-2013,6,6,5.85,5.95,10.67M,0.00%
21-03-2013,6,6,5.8,5.85,2.95M,-1.68%
22-03-2013,5.85,5.9,5.8,5.8,3.06M,-0.85%
25-03-2013,5.85,5.95,5.75,5.8,17.12M,0.00%
26-03-2013,5.8,5.85,5.6,5.8,1.71M,0.00%
27-03-2013,5.8,6,5.8,5.95,9.06M,2.59%
28-03-2013,5.95,6.2,5.95,6,6.93M,0.84%
02-04-2013,6.25,6.5,6,6,54.84M,0.00%
03-04-2013,6.05,6.25,6.05,6.15,2.48M,2.50%
04-04-2013,6.2,6.4,6.15,6.3,11.26M,2.44%
05-04-2013,6.25,6.4,6.25,6.3,8.92M,0.00%
08-04-2013,6.3,6.4,6.3,6.35,2.15M,0.79%
10-04-2013,6.4,6.6,6.35,6.45,30.86M,1.57%
11-04-2013,6.5,6.6,6.5,6.55,9.59M,1.55%
12-04-2013,6.55,6.55,6.3,6.5,11.99M,-0.76%
15-04-2013,6.5,6.5,6.35,6.4,5.66M,-1.54%
16-04-2013,6.35,6.5,6.3,6.4,13.53M,0.00%
17-04-2013,6.45,6.6,6.45,6.45,35.56M,0.78%
18-04-2013,6.55,6.65,6.55,6.55,34.86M,1.55%
19-04-2013,6.55,6.65,6.55,6.6,16.00M,0.76%
22-04-2013,6.6,6.65,6.55,6.6,15.18M,0.00%
23-04-2013,6.6,6.7,6.6,6.6,13.18M,0.00%
24-04-2013,6.65,6.7,6.6,6.6,14.37M,0.00%
25-04-2013,6.65,6.7,6.6,6.6,6.62M,0.00%
26-04-2013,6.6,6.7,6.6,6.65,8.19M,0.76%
29-04-2013,6.65,6.75,6.65,6.7,4.58M,0.75%
30-04-2013,6.8,6.95,6.7,6.85,11.28M,2.24%
02-05-2013,6.9,7.1,6.85,7,22.63M,2.19%
03-05-2013,7,7.2,7,7.05,30.74M,0.71%
06-05-2013,7.05,7.15,7.05,7.1,32.80M,0.71%
07-05-2013,7.1,7.2,7.1,7.15,21.73M,0.70%
08-05-2013,7.15,7.4,7.15,7.2,30.00M,0.70%
09-05-2013,7.25,7.25,7.1,7.2,30.26M,0.00%
10-05-2013,7.1,7.15,6.8,6.95,2.13M,-3.47%
13-05-2013,6.85,7,6.8,6.9,4.88M,-0.72%
14-05-2013,6.95,7.2,6.95,7.1,10.31M,2.90%
15-05-2013,7.2,7.55,7.15,7.35,60.05M,3.52%
16-05-2013,7.3,7.3,7.2,7.25,8.85M,-1.36%
17-05-2013,7.25,7.25,7.1,7.15,6.27M,-1.38%
20-05-2013,7.1,7.15,7,7,1.83M,-2.10%
21-05-2013,7,7.2,7,7.1,14.33M,1.43%
22-05-2013,7.1,7.2,7.05,7.15,23.90M,0.70%
23-05-2013,7.1,7.1,7,7.05,10.23M,-1.40%
24-05-2013,7,7.1,6.9,7,5.19M,-0.71%
27-05-2013,7,7.05,6.65,7,4.15M,0.00%
28-05-2013,7,7.15,7,7.05,5.79M,0.71%
29-05-2013,7.05,7.25,7.05,7.15,9.11M,1.42%
30-05-2013,7.15,7.3,7.15,7.25,17.70M,1.40%
31-05-2013,7.25,7.3,7.2,7.25,33.11M,0.00%
03-06-2013,7.2,7.25,7.15,7.2,34.15M,-0.69%
04-06-2013,7.2,7.2,7.05,7.1,70.20M,-1.39%
05-06-2013,7.05,7.2,7.05,7.1,72.39M,0.00%
06-06-2013,7.1,7.25,7.1,7.15,8.19M,0.70%
07-06-2013,7.2,7.25,7.2,7.2,4.14M,0.70%
10-06-2013,7.2,7.35,7.2,7.25,5.53M,0.69%
11-06-2013,7.25,7.45,7.25,7.35,16.51M,1.38%
12-06-2013,7.35,7.45,7.3,7.35,7.46M,0.00%
13-06-2013,7.35,7.4,7.2,7.3,26.27M,-0.68%
14-06-2013,7.2,7.2,6.6,7,12.91M,-4.11%
17-06-2013,7,7,6.5,6.7,24.97M,-4.29%
18-06-2013,6.8,7,6.8,6.9,2.25M,2.99%
19-06-2013,6.9,7,6.9,6.95,58.65M,0.72%
20-06-2013,6.95,6.95,6.7,6.9,55.24M,-0.72%
21-06-2013,6.85,6.85,6.7,6.75,19.16M,-2.17%
24-06-2013,6.75,6.75,6.65,6.7,2.14M,-0.74%
25-06-2013,6.7,6.8,6.65,6.75,16.33M,0.75%
26-06-2013,6.65,6.75,6.6,6.65,3.01M,-1.48%
27-06-2013,6.6,6.65,6.45,6.5,28.68M,-2.26%
28-06-2013,6.5,6.65,6.45,6.55,3.53M,0.77%
01-07-2013,6.5,6.6,6.35,6.45,8.28M,-1.53%
02-07-2013,6.4,6.5,6.15,6.4,26.43M,-0.78%
03-07-2013,6.4,6.5,6.25,6.35,23.66M,-0.78%
04-07-2013,6.4,6.6,6.3,6.45,7.17M,1.57%
05-07-2013,6.45,6.85,6.45,6.75,14.03M,4.65%
08-07-2013,6.75,6.8,6.55,6.75,33.75M,0.00%
09-07-2013,6.7,6.75,6.6,6.7,7.49M,-0.74%
10-07-2013,6.7,6.85,6.65,6.75,20.35M,0.75%
11-07-2013,6.75,7,6.75,6.9,1.57M,2.22%
12-07-2013,6.9,7.15,6.9,7.05,37.89M,2.17%
15-07-2013,7.1,7.5,7.1,7.3,13.52M,3.55%
16-07-2013,7.3,7.5,7.3,7.4,7.01M,1.37%
17-07-2013,7.55,7.55,7.2,7.35,38.64M,-0.68%
18-07-2013,7.3,7.45,7.2,7.3,15.68M,-0.68%
19-07-2013,7.35,7.35,7.2,7.25,4.64M,-0.68%
22-07-2013,7.25,7.3,7,7.1,6.96M,-2.07%
23-07-2013,7.1,7.1,7,7,21.68M,-1.41%
24-07-2013,7,7.2,7,7.05,5.06M,0.71%
25-07-2013,7.05,7.2,7.05,7.05,12.05M,0.00%
26-07-2013,7.05,7.3,7.05,7.15,1.34M,1.42%
29-07-2013,7.15,7.3,7.15,7.15,10.21M,0.00%
30-07-2013,7.15,7.35,7.15,7.25,12.13M,1.40%
31-07-2013,7.3,7.35,7.2,7.3,13.75M,0.69%
01-08-2013,7.2,7.3,7.2,7.25,8.04M,-0.68%
02-08-2013,7.3,7.35,7.25,7.25,9.79M,0.00%
05-08-2013,7.25,7.35,7.1,7.3,11.57M,0.69%
06-08-2013,7.3,7.35,7.3,7.3,1.81M,0.00%
07-08-2013,7.3,7.5,7.3,7.4,4.23M,1.37%
08-08-2013,7.4,8,7.4,7.7,13.82M,4.05%
12-08-2013,7.7,8,7.5,7.85,9.46M,1.95%
13-08-2013,7.65,7.75,7.65,7.65,3.47M,-2.55%
14-08-2013,7.65,7.85,7.65,7.75,21.90M,1.31%
15-08-2013,7.7,8,7.7,7.9,16.76M,1.94%
16-08-2013,7.9,8.15,7.9,8.05,23.90M,1.90%
19-08-2013,8.05,8.25,8,8.15,22.20M,1.24%
20-08-2013,8.15,8.25,8.15,8.2,9.69M,0.61%
21-08-2013,8.2,8.2,8,8.05,11.97M,-1.83%
22-08-2013,8,8.05,7.85,7.95,5.17M,-1.24%
23-08-2013,7.9,7.95,7.85,7.9,3.25M,-0.63%
26-08-2013,7.95,8,7.9,7.9,17.78M,0.00%
27-08-2013,7.9,7.95,7.65,7.75,9.07M,-1.90%
28-08-2013,7.75,7.75,7.45,7.5,28.18M,-3.23%
29-08-2013,7.5,7.8,7.45,7.65,86.80K,2.00%
30-08-2013,7.7,7.8,7.6,7.7,14.22M,0.65%
02-09-2013,7.7,7.8,7.6,7.65,1.30M,-0.65%
03-09-2013,7.7,7.85,7.7,7.75,2.80M,1.31%
04-09-2013,7.75,7.85,7.7,7.8,12.54M,0.65%
05-09-2013,7.75,7.9,7.75,7.85,4.95M,0.64%
06-09-2013,7.75,7.9,7.75,7.85,36.50M,0.00%
09-09-2013,7.85,8.25,7.8,8.05,11.18M,2.55%
10-09-2013,8.1,8.15,8.05,8.1,7.02M,0.62%
11-09-2013,8.1,8.15,8.05,8.05,15.40M,-0.62%
12-09-2013,8.05,8.15,8.05,8.05,14.29M,0.00%
13-09-2013,7.95,8.1,7.8,8,13.66M,-0.62%
16-09-2013,8.05,8.15,8.05,8.1,13.32M,1.25%
17-09-2013,8.1,8.25,8.1,8.15,21.74M,0.62%
18-09-2013,8.2,8.3,8.2,8.2,7.85M,0.61%
19-09-2013,8.2,8.45,8.2,8.35,6.29M,1.83%
20-09-2013,8.35,8.7,8.35,8.5,16.94M,1.80%
23-09-2013,8.5,8.5,8.2,8.35,9.33M,-1.76%
24-09-2013,8.2,8.35,8.2,8.25,31.57M,-1.20%
25-09-2013,8.3,8.45,8.3,8.4,29.90M,1.82%
26-09-2013,8.35,8.5,8.3,8.35,8.20M,-0.60%
27-09-2013,8.35,8.4,8.25,8.35,7.27M,0.00%
30-09-2013,8.35,8.7,8.25,8.5,7.22M,1.80%
01-10-2013,8.5,8.75,8.5,8.7,1.82M,2.35%
02-10-2013,8.55,8.95,8.55,8.75,14.19M,0.57%
03-10-2013,8.7,9,8.7,8.9,16.37M,1.71%
04-10-2013,8.9,8.95,8.9,8.9,15.07M,0.00%
07-10-2013,8.9,9.25,8.9,9.1,28.54M,2.25%
08-10-2013,9.2,9.5,9.2,9.4,28.03M,3.30%
09-10-2013,9.3,9.4,9.1,9.1,25.06M,-3.19%
10-10-2013,9.15,9.15,8.8,9,39.75M,-1.10%
11-10-2013,9,9.1,8.95,9,62.12M,0.00%
14-10-2013,9,9.25,9,9.05,26.20M,0.56%
15-10-2013,9.1,9.2,9.1,9.15,25.16M,1.10%
16-10-2013,9.2,9.25,9.1,9.15,15.95M,0.00%
17-10-2013,9.15,9.2,9.05,9.1,4.02M,-0.55%
18-10-2013,9.1,9.15,9.05,9.1,21.02M,0.00%
22-10-2013,9.1,9.15,8.85,8.95,3.80M,-1.65%
23-10-2013,8.5,9.1,8.2,9.05,45.10M,1.12%
24-10-2013,9.05,9.1,8.8,9.05,36.33M,0.00%
25-10-2013,9,9.05,8.9,9,10.87M,-0.55%
28-10-2013,9,9.1,8.95,9,2.19M,0.00%
30-10-2013,9.05,9.4,9.05,9.25,18.02M,2.78%
31-10-2013,9.25,9.7,9.25,9.45,15.88M,2.16%
01-11-2013,9.5,9.7,9.5,9.55,3.39M,1.06%
04-11-2013,9.55,9.9,9.5,9.7,15.07M,1.57%
05-11-2013,9.7,9.8,9.3,9.65,16.23M,-0.52%
06-11-2013,9.7,10.2,9.45,9.7,42.03M,0.52%
07-11-2013,9.45,9.95,9.45,9.85,23.78M,1.55%
08-11-2013,9.85,9.95,9.6,9.75,13.60M,-1.02%
11-11-2013,9.65,9.9,9.5,9.8,7.12M,0.51%
12-11-2013,9.85,9.9,9.75,9.8,9.92M,0.00%
13-11-2013,9.8,10,9.75,9.8,5.73M,0.00%
14-11-2013,9.8,9.95,9.8,9.85,16.21M,0.51%
15-11-2013,9.9,9.95,9.8,9.85,8.73M,0.00%
18-11-2013,9.85,10,9.85,9.9,6.52M,0.51%
19-11-2013,9.85,10.1,9.85,9.95,8.03M,0.51%
20-11-2013,10,10.3,9.95,10.05,6.70M,1.01%
21-11-2013,10.2,10.75,10.2,10.6,22.97M,5.47%
22-11-2013,10.6,10.9,10.6,10.75,33.61M,1.42%
25-11-2013,10.8,11.05,10.8,10.95,13.83M,1.86%
26-11-2013,11,11.1,10.95,11,53.18M,0.46%
27-11-2013,11,11.2,10.95,11,9.02M,0.00%
